parameters,model,unit,seg_from_nm,seg_to_nm,y_from,y_to,x_from,x_to,slope_m,intercept_a,equation
Kbile,diff,1/h,20,1000,1.37e-7,2.2632e-6,1.3010299956639813,3,1.2514641191861117e-6,-1.4911923575583352e-6,value = -1.491192358e-06 + 1.251464119e-06*log10(size_nm)   for 20<=size<=1000
Kbile,perf,1/h,20,1000,1.37e-7,2.2632e-6,1.3010299956639813,3,1.2514641191861117e-6,-1.4911923575583352e-6,value = -1.491192358e-06 + 1.251464119e-06*log10(size_nm)   for 20<=size<=1000
Kfec,diff,1/h,20,1000,0.073,0.025755565,1.3010299956639813,3,-0.027807692236723025,0.10917864171016908,value = 0.1091786417 + -0.02780769224*log10(size_nm)   for 20<=size<=1000
Kfec,perf,1/h,20,1000,0.073,0.025755565,1.3010299956639813,3,-0.027807692236723025,0.10917864171016908,value = 0.1091786417 + -0.02780769224*log10(size_nm)   for 20<=size<=1000
Kgi_lym,diff,1/h,20,1000,1.37e-5,0.082481867,1.3010299956639813,3,0.04854009593431857,-0.06313842080295572,value = -0.0631384208 + 0.04854009593*log10(size_nm)   for 20<=size<=1000
Kgi_lym,perf,1/h,20,1000,1.37e-5,0.082481867,1.3010299956639813,3,0.04854009593431857,-0.06313842080295572,value = -0.0631384208 + 0.04854009593*log10(size_nm)   for 20<=size<=1000
Klym_ven,diff,1/h,20,1000,0.137,0.016962961,1.3010299956639813,3,-0.07065283006389049,0.22892145119167145,value = 0.2289214512 + -0.07065283006*log10(size_nm)   for 20<=size<=1000
Klym_ven,perf,1/h,20,1000,0.137,0.016962961,1.3010299956639813,3,-0.07065283006389049,0.22892145119167145,value = 0.2289214512 + -0.07065283006*log10(size_nm)   for 20<=size<=1000
Kmax_blood,diff,1/h,20,1000,1.37e-7,1.37e-6,1.3010299956639813,3,7.257338251135715e-7,-8.072014753407145e-7,value = -8.072014753e-07 + 7.257338251e-07*log10(size_nm)   for 20<=size<=1000
Kmax_blood,perf,1/h,20,1000,NA,NA,1.3010299956639813,3,NA,NA,value = NA + NA*log10(size_nm)   for 20<=size<=1000
Kmax_pul,diff,1/h,20,1000,41.1,39.7,1.3010299956639813,3,-0.8240286740948898,42.172086022284674,value = 42.17208602 + -0.8240286741*log10(size_nm)   for 20<=size<=1000
Kmax_pul,perf,1/h,20,1000,NA,NA,1.3010299956639813,3,NA,NA,value = NA + NA*log10(size_nm)   for 20<=size<=1000
Kpul_lym,diff,1/h,20,1000,1.37e-6,0.027494162,1.3010299956639813,3,0.016182034956376153,-0.02105194286912846,value = -0.02105194287 + 0.01618203496*log10(size_nm)   for 20<=size<=1000
Kpul_lym,perf,1/h,20,1000,1.37e-6,0.027494162,1.3010299956639813,3,0.016182034956376153,-0.02105194286912846,value = -0.02105194287 + 0.01618203496*log10(size_nm)   for 20<=size<=1000
Kpul_ua,diff,1/h,20,1000,9.52869e-4,0.001000482,1.3010299956639813,3,2.8024626614057196e-5,9.164081201578284e-4,value = 0.0009164081202 + 2.802462661e-05*log10(size_nm)   for 20<=size<=1000
Kpul_ua,perf,1/h,20,1000,9.52869e-4,0.001000482,1.3010299956639813,3,2.8024626614057196e-5,9.164081201578284e-4,value = 0.0009164081202 + 2.802462661e-05*log10(size_nm)   for 20<=size<=1000
Kres_blood,diff,1/h,20,1000,0.156,0.167,1.3010299956639813,3,0.006474511010745574,0.14757646696776328,value = 0.147576467 + 0.006474511011*log10(size_nm)   for 20<=size<=1000
Kres_blood,perf,1/h,20,1000,NA,NA,1.3010299956639813,3,NA,NA,value = NA + NA*log10(size_nm)   for 20<=size<=1000
Kres_pul,diff,1/h,20,1000,2.71,0.364,1.3010299956639813,3,-1.3808366210190095,4.506509863057028,value = 4.506509863 + -1.380836621*log10(size_nm)   for 20<=size<=1000
Kres_pul,perf,1/h,20,1000,NA,NA,1.3010299956639813,3,NA,NA,value = NA + NA*log10(size_nm)   for 20<=size<=1000
Ksit_agg_lit,diff,unitless,20,1000,0.068115803,0.065477538,1.3010299956639813,3,-0.0015528614356149694,0.0701361223068449,value = 0.07013612231 + -0.001552861436*log10(size_nm)   for 20<=size<=1000
Ksit_agg_lit,perf,unitless,20,1000,0.068115803,0.065477538,1.3010299956639813,3,-0.0015528614356149694,0.0701361223068449,value = 0.07013612231 + -0.001552861436*log10(size_nm)   for 20<=size<=1000
Ksit_lit,diff,unitless,20,1000,1.37471e-6,1.37476e-8,1.3010299956639813,3,-8.010514585464286e-7,2.416901975639286e-6,value = 2.416901976e-06 + -8.010514585e-07*log10(size_nm)   for 20<=size<=1000
Ksit_lit,perf,unitless,20,1000,1.37471e-6,1.37476e-8,1.3010299956639813,3,-8.010514585464286e-7,2.416901975639286e-6,value = 2.416901976e-06 + -8.010514585e-07*log10(size_nm)   for 20<=size<=1000
Kstom_sit,diff,1/h,20,1000,0.032915217,0.041577909,1.3010299956639813,3,0.005098790430608872,0.02628153770817339,value = 0.02628153771 + 0.005098790431*log10(size_nm)   for 20<=size<=1000
Kstom_sit,perf,1/h,20,1000,0.032915217,0.041577909,1.3010299956639813,3,0.005098790430608872,0.02628153770817339,value = 0.02628153771 + 0.005098790431*log10(size_nm)   for 20<=size<=1000
Ktra_stom,diff,1/h,20,1000,0.054894306,0.13747081,1.3010299956639813,3,0.04860386221607959,-0.00834077664823877,value = -0.008340776648 + 0.04860386222*log10(size_nm)   for 20<=size<=1000
Ktra_stom,perf,1/h,20,1000,0.054894306,0.13747081,1.3010299956639813,3,0.04860386221607959,-0.00834077664823877,value = -0.008340776648 + 0.04860386222*log10(size_nm)   for 20<=size<=1000
Kua_stom,diff,1/h,20,1000,0.002906065,0.123723729,1.3010299956639813,3,0.07111229962368713,-0.08961316987106141,value = -0.08961316987 + 0.07111229962*log10(size_nm)   for 20<=size<=1000
Kua_stom,perf,1/h,20,1000,0.002906065,0.123723729,1.3010299956639813,3,0.07111229962368713,-0.08961316987106141,value = -0.08961316987 + 0.07111229962*log10(size_nm)   for 20<=size<=1000
Kurine,diff,1/h,20,1000,0.0841,0.042920327,1.3010299956639813,3,-0.024238022387036543,0.11563439416110963,value = 0.1156343942 + -0.02423802239*log10(size_nm)   for 20<=size<=1000
Kurine,perf,1/h,20,1000,0.0841,0.042920327,1.3010299956639813,3,-0.024238022387036543,0.11563439416110963,value = 0.1156343942 + -0.02423802239*log10(size_nm)   for 20<=size<=1000
Ppul,diff,unitless,20,1000,30.60827507,9.942595774,1.3010299956639813,3,-12.163651649680794,46.43355072304239,value = 46.43355072 + -12.16365165*log10(size_nm)   for 20<=size<=1000
Ppul,perf,unitless,20,1000,30.60827507,9.942595774,1.3010299956639813,3,-12.163651649680794,46.43355072304239,value = 46.43355072 + -12.16365165*log10(size_nm)   for 20<=size<=1000
Xpul,diff,unitless,20,1000,0.4578951,0.252235453,1.3010299956639813,3,-0.12104960445159517,0.6153842663547855,value = 0.6153842664 + -0.1210496045*log10(size_nm)   for 20<=size<=1000
Xpul,perf,unitless,20,1000,NA,NA,1.3010299956639813,3,NA,NA,value = NA + NA*log10(size_nm)   for 20<=size<=1000
